date,close
2022-04-11,52.05
2022-04-12,52.1
2022-04-13,52.03
2022-04-18,52.27
2022-04-19,52.46
2022-04-20,52.49
2022-04-21,52.365
2022-04-22,52.315
2022-04-25,52.41
2022-04-26,52.25
2022-04-27,52.12
2022-04-28,52.27
2022-04-29,52.19
2022-05-02,52.365
2022-05-04,52.5
2022-05-05,52.385
2022-05-06,52.5
2022-05-10,52.37
2022-05-11,52.275
2022-05-12,52.495
2022-05-13,52.45
2022-05-16,52.493
2022-05-17,52.425
2022-05-18,52.45
2022-05-19,52.45
2022-05-20,52.23
2022-05-23,52.27
2022-05-24,52.32
2022-05-25,52.355
2022-05-26,52.4
2022-05-27,52.32
2022-05-30,52.31
2022-05-31,52.37
2022-06-01,52.48
2022-06-02,52.8
2022-06-03,52.86
2022-06-06,52.86
2022-06-07,52.95
2022-06-08,52.915
2022-06-09,52.95
2022-06-10,53
2022-06-13,53.3
2022-06-14,53.25
2022-06-15,53.435
2022-06-16,53.47
2022-06-17,53.75
2022-06-20,54.065
2022-06-21,54.265
2022-06-22,54.47
2022-06-23,54.7
2022-06-24,54.985
2022-06-27,54.78
2022-06-28,54.77
2022-06-29,55.06
2022-06-30,54.975
2022-07-01,55.09
2022-07-04,55.08
2022-07-05,55.23
2022-07-06,55.67
2022-07-07,56.06
2022-07-08,55.92
2022-07-11,55.979
2022-07-12,56.37
2022-07-13,56.26
2022-07-14,56.15
2022-07-15,56.36
2022-07-18,56.35
2022-07-19,56.255
2022-07-20,56.29
2022-07-21,56.35
2022-07-22,56.28
2022-07-25,56.1
2022-07-26,55.3
2022-07-27,55.68
2022-07-28,55.82
2022-07-29,55.13
2022-08-01,55.31
2022-08-02,55.435
2022-08-03,55.74
2022-08-04,55.6
2022-08-05,55.2
2022-08-08,55.55
2022-08-09,55.595
2022-08-10,55.665
2022-08-11,55.3
2022-08-12,55.61
2022-08-15,55.825
2022-08-16,55.83
2022-08-17,55.86
2022-08-18,55.888
2022-08-19,55.93
2022-08-22,56.21
2022-08-23,56.07
2022-08-25,56.06
2022-08-26,56.02
2022-08-30,56.225
2022-08-31,56.145
2022-09-01,56.42
2022-09-02,56.77
2022-09-05,56.999
2022-09-06,57
2022-09-07,57.135
2022-09-08,57.18
2022-09-09,56.82
2022-09-12,56.86
2022-09-13,56.77
2022-09-14,57.11
2022-09-15,57.16
2022-09-16,57.43
2022-09-19,57.4
2022-09-20,57.48
2022-09-21,58
2022-09-22,58.49
2022-09-23,58.5
2022-09-27,58.99
2022-09-28,58.98
2022-09-29,58.97
2022-09-30,58.625
2022-10-03,59
2022-10-04,58.65
2022-10-05,58.65
2022-10-06,58.653
2022-10-07,58.92
2022-10-10,59
2022-10-11,58.865
2022-10-12,58.965
2022-10-13,59
2022-10-14,58.935
2022-10-17,59
2022-10-18,58.75
2022-10-19,58.945
2022-10-20,58.94
2022-10-21,58.75
2022-10-24,58.87
2022-10-25,58.78
2022-10-26,58.43
2022-10-27,58.22
2022-10-28,57.97
2022-11-02,58.47
2022-11-03,58.8
2022-11-04,58.55
2022-11-07,58.58
2022-11-08,58.275
2022-11-09,57.99
2022-11-10,58.19
2022-11-11,57.23
2022-11-14,57.28
2022-11-15,57.21
2022-11-16,57.35
2022-11-17,57.36
2022-11-18,57.26
2022-11-21,57.36
2022-11-22,57.375
2022-11-23,56.94
2022-11-24,56.78
2022-11-25,56.67
2022-11-28,56.64
2022-11-29,56.56
2022-12-01,56.22
2022-12-02,55.74
2022-12-05,56.02
2022-12-06,55.975
2022-12-07,55.45
2022-12-09,55.37
2022-12-12,55.65
2022-12-13,55.9
2022-12-14,55.745
2022-12-15,55.685
2022-12-16,55.56
2022-12-19,55.41
2022-12-20,55.24
2022-12-21,55.1
2022-12-22,55.09
2022-12-23,55.15
2022-12-27,55.9
2022-12-28,56.2
2022-12-29,55.755
2023-01-03,55.79
2023-01-04,55.91
2023-01-05,55.75
2023-01-06,55.64
2023-01-09,55.11
2023-01-10,54.87
2023-01-11,54.8
2023-01-12,55.29
2023-01-13,54.89
2023-01-16,54.575
2023-01-17,54.82
2023-01-18,54.62
2023-01-19,54.63
2023-01-20,54.54
2023-01-23,54.54
2023-01-24,54.435
2023-01-25,54.63
2023-01-26,54.4
2023-01-27,54.47
2023-01-30,54.545
2023-01-31,54.64
2023-02-01,54.475
2023-02-02,53.845
2023-02-03,53.68
2023-02-06,54.39
2023-02-07,55.085
2023-02-08,54.8
2023-02-09,54.45
2023-02-10,54.42
2023-02-13,54.76
2023-02-14,54.83
2023-02-15,55.17
2023-02-16,55.12
2023-02-17,55.24
2023-02-20,54.95
2023-02-21,55.085
2023-02-22,55.18
2023-02-23,54.87
2023-02-27,55.51
2023-02-28,55.33
2023-03-01,54.98
2023-03-02,55.01
2023-03-03,54.82
2023-03-06,54.88
2023-03-07,55
2023-03-08,55.32
2023-03-09,55.24
2023-03-10,55.17
2023-03-13,54.93
2023-03-14,55.08
2023-03-15,54.95
2023-03-16,54.86
2023-03-17,54.71
2023-03-20,54.675
2023-03-21,54.44
2023-03-22,54.5
2023-03-23,54.27
2023-03-24,54.35
2023-03-27,54.29
2023-03-28,54.45
2023-03-29,54.45
2023-03-30,54.415
2023-03-31,54.36
2023-04-03,54.73
2023-04-04,54.495
2023-04-05,54.4
2023-04-11,54.93
2023-04-12,55.22
2023-04-13,55.26
2023-04-14,55.21
2023-04-17,55.85
2023-04-18,56.14
2023-04-19,56.21
2023-04-20,56.02
2023-04-24,55.77
2023-04-25,55.54
2023-04-26,55.62
2023-04-27,55.72
2023-04-28,55.38
2023-05-02,55.34
2023-05-03,55.335
2023-05-04,55.35
2023-05-05,55.3
2023-05-08,55.25
2023-05-09,55.76
2023-05-10,55.67
2023-05-11,55.75
2023-05-12,55.79
